Model No,Make,Model,Variant,Ex_Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,City_Mileage,Gears,Front_Brakes,Rear_Brakes,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Speedometer,Seating_Capacity,Aux-in_Compatibility,Basic_Warranty,Handbrake,Sale_per_year,warranty,Model_year
590,Mahindra,Xuv300,1.5 W4,1649516,1497 cc,2,42 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,205/65 R16,205/65 R16,Yes,5,No,No Warranty,Manual,7883,2,2012
591,Mahindra,Xuv300,1.5 W6,5933176,1497 cc,2,42 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,205/65 R16,205/65 R16,Yes,5,Yes,No Warranty,Manual,3468,4,2014
592,Mahindra,Xuv300,1.5 W8,1699589,1497 cc,2,42 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,205/65 R16,205/65 R16,Yes,5,Yes,No Warranty,Manual,4540,3,2012
593,Mahindra,Xuv300,1.5 W8 (O),6189367,1497 cc,2,42 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,205/65 R16,205/65 R16,Yes,5,Yes,No Warranty,Manual,2604,5,2012
594,Mahindra,Xuv300,1.5 W8 Amt,2736258,1497 cc,2,42 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,205/65 R16,205/65 R16,Yes,5,Yes,No Warranty,Manual,4754,4,2010
595,Mahindra,Xuv300,1.5 W8 (O) Amt,1348222,1497 cc,2,42 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,205/65 R16,205/65 R16,Yes,5,Yes,No Warranty,Manual,8776,3,2021
596,Mahindra,Xuv300,1.5 W6 Amt,4514032,1497 cc,4,42 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,205/65 R16,205/65 R16,Yes,5,Yes,No Warranty,Manual,3303,3,2010
597,Renault,Lodgy,85 Ps Std,1146071,1461 cc,4,50 litres,Diesel,21.04 km/litre,5,Ventilated Disc,Drum,185 / 65 R15,185 / 65 R15,Analog,8,No,No Warranty,Manual,7155,3,2020
598,Renault,Lodgy,85 Ps Rxe 8 Seater,7220024,1461 cc,4,50 litres,Diesel,21.04 km/litre,5,Ventilated Disc,Drum,185 / 65 R15,185 / 65 R15,Analog,8,No,2 years /50000 Kms (years/distance whichever comes first),Manual,9297,5,2010
599,Renault,Lodgy,Stepway Rxz 110Ps 8-Seater,8995328,1461 cc,4,50 litres,Diesel,21.04 km/litre,6,Ventilated Disc,Drum,185/65 R15,185/65 R15,Analog,4,Yes,2 years /50000 Kms (years/distance whichever comes first),Manual,2480,4,2019
600,Renault,Lodgy,Stepway Rxz 110Ps 7-Seater,3164308,1461 cc,4,50 litres,Diesel,21.04 km/litre,6,Ventilated Disc,Drum,185/65 R15,185/65 R15,Analog,7,Yes,2 years /50000 Kms (years/distance whichever comes first),Manual,4855,4,2011
601,Renault,Lodgy,Stepway Rxl 85Ps 8-Seater,8275728,1461 cc,4,50 litres,Diesel,21.04 km/litre,5,Ventilated Disc,Drum,185/65 R16,185/65 R16,Analog,8,Yes,2 years /50000 Kms (years/distance whichever comes first),Manual,6639,2,2016
602,Renault,Lodgy,Stepway Rxz 85Ps 8-Seater,7638571,1461 cc,4,50 litres,Diesel,21.04 km/litre,5,Ventilated Disc,Drum,185/65 R16,185/65 R16,Analog,8,Yes,2 years /50000 Kms (years/distance whichever comes first),Manual,6904,2,2014
603,Renault,Lodgy,85 Ps Rxe 7 Seater,7540167,1461 cc,4,50 litres,Diesel,21.04 km/litre,5,Ventilated Disc,Drum,185 / 65 R15,185 / 65 R15,Analog,7,No,2 years /50000 Kms (years/distance whichever comes first),Manual,10877,4,2019
604,Volkswagen,Vento,Trendline 1.6 (P),1960684,1598 cc,4,55 litres,Petrol,12.1 km/litre,5,Ventilated Disc,Drum,175/70R14,175/70R14,Analog,5,No,2 years / Unlimited Kms,Manual,9950,2,2017
605,Volkswagen,Vento,Highline 1.6 (P),5644741,1598 cc,4,55 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,1416,5,2017
606,Volkswagen,Vento,Comfortline 1.6 (P),2788320,1598 cc,4,55 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,8968,2,2012
607,Volkswagen,Vento,Highline 1.2 (P) Dsg,3820309,1197 cc,4,55 litres,Petrol,23 km/litre,7,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,2052,5,2014
608,Volkswagen,Vento,Highline Plus 1.2 (P) Dsg,9423545,1197 cc,4,55 litres,Petrol,23 km/litre,7,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,3098,4,2021
609,Volkswagen,Vento,Trendline 1.5 (D),8489928,1498 cc,4,55 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,175/70R14,175/70R14,Analog,5,No,2 years / Unlimited Kms,Manual,9214,2,2015
610,Volkswagen,Vento,Comfortline 1.5 (D),3949877,1498 cc,4,55 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,5923,3,2015
611,Volkswagen,Vento,Highline 1.5 (D),5894387,1498 cc,4,55 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,7549,2,2014
612,Volkswagen,Vento,Highline 1.5 (D) Dsg,9473126,1498 cc,4,55 litres,Diesel,23 km/litre,7,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,10687,3,2022
613,Volkswagen,Vento,Highline Plus 1.5 (D) Dsg,8005547,1498 cc,4,55 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,9851,3,2017
614,Volkswagen,Vento,Gt Line (D),6358153,1498 cc,4,45 litres,Diesel,19 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,9834,5,2015
615,Volkswagen,Vento,Gt Line (P) Dsg,3067181,1197 cc,4,45 litres,Petrol,17 km/litre,7,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,2 years / Unlimited Kms,Manual,8335,4,2014
616,Mahindra,E2O Plus,P4,9599358,660 cc,2,24 litres,Electric,80 km/litre,4,Ventilated Disc,Drum,165/60/R14,165/60/R14,Digital,4,Yes,3 years 60000 kms,Automatic,2315,3,2011
617,Mahindra,E2O Plus,P6,1941174,660 cc,2,24 litres,Electric,80 km/litre,4,Ventilated Disc,Drum,165/60/R14,165/60/R14,Digital,4,Yes,3 years 60000 kms,Automatic,7996,4,2013
618,Tata,Tigor Ev,Xm+,6224163,660 cc,2,35 litres,Electric,23 km/litre,NA,Ventilated Disc,Drum,175/65 R14,175/65 R14,Yes,5,Yes,No Warranty,Manual,8195,2,2020
619,Tata,Tigor Ev,Xt+,7425871,660 cc,2,35 litres,Electric,23 km/litre,NA,Ventilated Disc,Drum,175/65 R14,175/65 R14,Yes,5,Yes,No Warranty,Manual,4334,4,2019
620,Tata,Tigor Ev,Xe+,1295955,660 cc,2,35 litres,Electric,23 km/litre,NA,Ventilated Disc,Drum,175/65 R14,175/65 R14,Yes,5,Yes,No Warranty,Manual,3750,2,2013
621,Honda,Brv,E Petrol,9886402,1497 cc,4,42 litres,Petrol,12 km/litre,7,Ventilated Disc,Drum,195/60 R16,195/60 R16,Analog,7,No,3 years / Unlimited Kms,Manual,7114,4,2018
622,Honda,Brv,S Petrol,4675714,1497 cc,4,42 litres,Petrol,12 km/litre,7,Ventilated Disc,Drum,195/60 R16,195/60 R16,Analog,7,Yes,3 years / Unlimited Kms,Manual,6055,3,2016
623,Honda,Brv,V Petrol,4847969,1497 cc,4,42 litres,Petrol,12 km/litre,7,Ventilated Disc,Drum,195/60 R16,195/60 R16,Analog,7,Yes,3 years / Unlimited Kms,Manual,2704,3,2011
624,Honda,Brv,Vx Petrol,5431276,1497 cc,4,42 litres,Petrol,12 km/litre,7,Ventilated Disc,Drum,195/60 R16,195/60 R16,Analog,7,Yes,3 years / Unlimited Kms,Manual,2843,4,2017
625,Honda,Brv,V Cvt Petrol,4269087,1497 cc,4,42 litres,Petrol,12 km/litre,7,Ventilated Disc,Drum,195/60 R16,195/60 R16,Analog,7,Yes,3 years / Unlimited Kms,Manual,4819,2,2015
626,Honda,Brv,S Diesel,7751496,1498 cc,4,42 litres,Diesel,16.2 km/litre,7,Ventilated Disc,Drum,195/60 R16,195/60 R16,Analog,7,Yes,3 years / Unlimited Kms,Manual,1407,2,2013
627,Honda,Brv,V Diesel,9547636,1498 cc,4,42 litres,Diesel,16.2 km/litre,7,Ventilated Disc,Drum,195/60 R16,195/60 R16,Analog,7,Yes,3 years / Unlimited Kms,Manual,4288,5,2020
628,Honda,Brv,Vx Diesel,3022447,1498 cc,4,42 litres,Diesel,16.2 km/litre,7,Ventilated Disc,Drum,195/60 R16,195/60 R16,Analog,7,Yes,3 years / Unlimited Kms,Manual,9585,3,2012
629,Mahindra,Thar,Crde,6195884,2498 cc,4,60 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,235/70R16,235/70R16,Analog,6,Yes,1 Year /Unlimited KMs,Manual,10582,4,2015
630,Mahindra,Thar,700 Special Edition,3763540,2498 cc,4,60 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,P235/70 R16,P235/70 R16,Analog,6,Yes,1 Year /Unlimited KMs,Manual,3862,3,2015
631,Mahindra,Thar,Crde Abs,1372306,2498 cc,4,60 litres,Diesel,23 km/litre,5,Ventilated Disc,Drum,P235/70 R16,P235/70 R16,Analog,6,No,1 Year /Unlimited KMs,Manual,8326,5,2018
632,Force,Gurkha,Xpedition 5 Door,5498745,2596 cc,4,63 litres,Diesel,14 km/litre,6,Ventilated Disc,Drum,245/70 R16,245/70 R16,Analog,7,No,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,8617,2,2012
633,Force,Gurkha,Xplorer 3 Door,5059738,2596 cc,4,63 litres,Diesel,14 km/litre,6,Ventilated Disc,Drum,245/70 R16,245/70 R16,Analog,5,No,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,2894,5,2014
634,Force,Gurkha,Xtreme,1105200,2149 cc,4,63 litres,Diesel,23 km/litre,5,Solid Disc,Drum,245 / 70 R16,245 / 70 R16,Yes,5,No,No Warranty,Manual,4365,5,2019
635,Force,Gurkha,Xtreme Abs,8339120,2149 cc,4,63 litres,Diesel,23 km/litre,5,Solid Disc,Drum,245 / 70 R16,245 / 70 R16,Yes,5,No,No Warranty,Manual,2554,2,2013
636,Force,Gurkha,Xpedition 3 Door,9823302,2596 cc,4,63 litres,Diesel,14 km/litre,6,Ventilated Disc,Drum,245/70 R16,245/70 R16,Analog,7,No,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,4131,3,2019
637,Force,Gurkha,Xplorer 5 Door,8008060,2596 cc,4,63 litres,Diesel,14 km/litre,6,Ventilated Disc,Drum,245/70 R16,245/70 R16,Analog,5,No,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,10294,3,2012
638,Maruti Suzuki,Xl6,Zeta Mt,3900108,1462 cc,4,45 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/65 R15,185/65 R15,"Analog, Digital",6,Yes,No Warranty,Manual,1893,5,2016
639,Maruti Suzuki,Xl6,Alpha Mt,4048674,1462 cc,4,45 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/65 R15,185/65 R15,"Analog, Digital",6,Yes,No Warranty,Manual,6539,4,2021
640,Maruti Suzuki,Xl6,Zeta At,3660998,1462 cc,4,45 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/65 R15,185/65 R15,"Analog, Digital",6,Yes,No Warranty,Manual,1848,5,2022
641,Maruti Suzuki,Xl6,Alpha At,6249812,1462 cc,4,45 litres,Petrol,23 km/litre,5,Ventilated Disc,Drum,185/65 R15,185/65 R15,"Analog, Digital",6,Yes,No Warranty,Manual,9031,3,2014
642,Fiat,Abarth Avventura,1.4 T-Jet,1737152,1368 cc,4,24 litres,Petrol,17 km/litre,5,Ventilated Disc,Drum,205/55 R16,205/55 R16,Analog,5,Yes,No Warranty,Manual,3697,5,2016
643,Mahindra,Tuv300 Plus,P4,5719421,2179 cc,3,60 litres,Diesel,18.49 km/litre,5,Ventilated Disc,Drum,215/70R15,215/70R15,Analog,9,No,3 years /100000 Kms (years/distance whichever comes first),Manual,3573,3,2020
644,Mahindra,Tuv300 Plus,P6,8720984,2179 cc,3,60 litres,Diesel,18.49 km/litre,5,Ventilated Disc,Drum,215/70R15,215/70R15,Analog,9,No,3 years /100000 Kms (years/distance whichever comes first),Manual,1655,4,2012
645,Mahindra,Tuv300 Plus,P8,7894644,2179 cc,3,60 litres,Diesel,18.49 km/litre,5,Ventilated Disc,Drum,215/70R15,215/70R15,Analog,9,No,3 years /100000 Kms (years/distance whichever comes first),Manual,8835,2,2014
646,Mahindra,Marazzo,M2 7 Str,8074566,1497 cc,4,45 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,215 65 R16,215 65 R16,Yes,7,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,4170,3,2013
647,Mahindra,Marazzo,M4 7 Str,4319034,1497 cc,4,45 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,215 65 R16,215 65 R16,Yes,7,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,3864,2,2013
648,Mahindra,Marazzo,M6 7 Str,9166563,1497 cc,4,45 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,215 65 R16,215 65 R16,Yes,7,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,8765,3,2017
649,Mahindra,Marazzo,M8 7 Str,8446540,1497 cc,4,45 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,215/60 R17,215/60 R17,"Analog, Digital",7,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,1378,5,2016
650,Mahindra,Marazzo,M2 8 Str,2332164,1497 cc,4,45 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,215 65 R16,215 65 R16,Yes,8,No,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,1577,2,2019
651,Mahindra,Marazzo,M4 8 Str,9917330,1497 cc,4,45 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,215 65 R16,215 65 R16,Yes,8,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,1203,3,2020
652,Mahindra,Marazzo,M6 8 Str,7717996,1497 cc,4,45 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,215 65 R16,215 65 R16,Yes,8,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,5700,3,2017
653,Mahindra,Marazzo,M8 8 Str,6002707,1497 cc,4,45 litres,Diesel,23 km/litre,6,Ventilated Disc,Ventilated Disc,215/60 R17,215/60 R17,"Analog, Digital",8,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",Manual,8376,4,2017
654,Mahindra,Scorpio,S3 2Wd,2852603,2523 cc,4,60 litres,Diesel,11.5 km/litre,5,Ventilated Disc,Drum,P215/75R15,P215/75R15,Analog,9,No,2 years /75000 Kms (years/distance whichever comes first),Manual,1470,3,2021
655,Mahindra,Scorpio,4Wd Getaway,8525271,2179 cc,4,80 litres,Diesel,8.1 km/litre,5,Solid Disc,Drum,245/75R16,245/75R16,Analog,5,Yes,No Warranty,Manual,3436,4,2014
656,Mahindra,Scorpio,2Wd Getaway,1198974,2179 cc,4,80 litres,Diesel,9.4 km/litre,5,Solid Disc,Drum,245/75R16,245/75R16,Analog,5,Yes,No Warranty,Manual,2355,4,2019
657,Mahindra,Scorpio,S5 2Wd,9811223,2179 cc,4,60 litres,Diesel,11.5 km/litre,5,Ventilated Disc,Drum,P235/65R17,P235/65R17,Analog,9,No,2 years /75000 Kms (years/distance whichever comes first),Manual,8705,2,2011
658,Mahindra,Scorpio,S7 120 2Wd,4515109,2179 cc,4,60 litres,Diesel,11.5 km/litre,5,Ventilated Disc,Drum,P235/65R17,P235/65R17,Analog,9,No,2 years /75000 Kms (years/distance whichever comes first),Manual,9716,2,2018
659,Mahindra,Scorpio,S7 140 2Wd,8005054,2179 cc,4,60 litres,Diesel,11.5 km/litre,5,Ventilated Disc,Drum,P235/65R17,P235/65R17,Analog,9,No,2 years /75000 Kms (years/distance whichever comes first),Manual,1017,4,2018
660,Mahindra,Scorpio,S11 2Wd,2707094,2179 cc,4,60 litres,Diesel,11.5 km/litre,5,Ventilated Disc,Drum,P235/65R17,P235/65R17,Analog,9,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,10293,3,2011
661,Mahindra,Scorpio,S11 4Wd,6986178,2179 cc,4,60 litres,Diesel,11.5 km/litre,5,Ventilated Disc,Drum,P235/65R17,P235/65R17,Analog,9,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,4649,3,2017
662,Mahindra,Scorpio,S9 2Wd,9010936,2179 cc,4,60 litres,Diesel,11.5 km/litre,6,Ventilated Disc,Drum,P235/65R17,P235/65R17,Analog,9,Yes,2 years /75000 Kms (years/distance whichever comes first),Manual,6439,4,2021
663,Skoda,Monte Carlo,Monte Carlo 1.5 Tdi At,4097913,1498 cc,4,55 litres,Diesel,18 km/litre,7,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years / Unlimited Kms,Manual,2944,5,2019
664,Skoda,Monte Carlo,Monte Carlo 1.6 Mpi At,6541322,1598 cc,4,55 litres,Petrol,12 km/litre,7,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years / Unlimited Kms,Manual,6887,4,2015
665,Skoda,Monte Carlo,Monte Carlo 1.5 Tdi Mt,2662635,1498 cc,4,55 litres,Diesel,18 km/litre,5,Ventilated Disc,Drum,185/60R16,185/60R16,Analog,5,Yes,3 years / Unlimited Kms,Manual,10567,4,2019
666,Skoda,Monte Carlo,Monte Carlo 1.6 Mpi Mt,7494839,1598 cc,4,55 litres,Petrol,12 km/litre,5,Ventilated Disc,Drum,185/60R15,185/60R15,Analog,5,Yes,3 years / Unlimited Kms,Manual,8752,2,2022
667,Mahindra,Xuv500,G At,7757918,2179 cc,4,70 litres,Petrol,23 km/litre,6,Ventilated Disc,Ventilated Disc,235/65R17,235/65R17,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,10283,3,2010
668,Mahindra,Xuv500,W7,5251003,2179 cc,4,70 litres,Diesel,16 km/litre,6,Solid Disc,Solid Disc,P235/65 R17,P235/65 R17,error,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,8355,5,2015
669,Mahindra,Xuv500,W7 At,6419267,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R17,P235/65R17,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,3476,5,2010
670,Mahindra,Xuv500,W9,4156886,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R15,P235/65R15,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,6709,5,2021
671,Mahindra,Xuv500,W9 At,1231078,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R17,P235/65R17,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,5516,4,2014
672,Mahindra,Xuv500,W11,4826537,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R15,P235/65R15,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,3944,4,2018
673,Mahindra,Xuv500,W11 At,8697926,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R17,P235/65R17,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,4481,5,2019
674,Mahindra,Xuv500,W11 (O),7054458,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/60 R18,P235/60 R18,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,9677,5,2011
675,Mahindra,Xuv500,W11 (O) At,9561996,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/60 R18,P235/60 R18,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,4819,4,2012
676,Mahindra,Xuv500,G At,1065157,2179 cc,4,70 litres,Petrol,23 km/litre,6,Ventilated Disc,Ventilated Disc,235/65R17,235/65R17,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,5022,3,2015
677,Mahindra,Xuv500,W7,9722160,2179 cc,4,70 litres,Diesel,16 km/litre,6,Solid Disc,Solid Disc,P235/65 R17,P235/65 R17,error,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,10256,4,2016
678,Mahindra,Xuv500,W7 At,4905535,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R17,P235/65R17,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,8430,4,2020
679,Mahindra,Xuv500,W9,7642444,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R15,P235/65R15,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,4375,2,2018
680,Mahindra,Xuv500,W9 At,1984745,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R17,P235/65R17,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,2556,5,2022
681,Mahindra,Xuv500,W11,7232567,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R15,P235/65R15,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,1364,3,2015
682,Mahindra,Xuv500,W11 At,9905847,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65R17,P235/65R17,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,10172,2,2017
683,Mahindra,Xuv500,W11 (O),8316268,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/60 R18,P235/60 R18,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,5363,3,2017
684,Mahindra,Xuv500,W11 (O) At,4302423,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/60 R18,P235/60 R18,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,7299,3,2013
685,Mahindra,Xuv500,W11 (O) Awd,4990929,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/60 R18,P235/60 R18,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,4473,4,2014
686,Mahindra,Xuv500,W11 (O) Awd At,7384758,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/60 R18,P235/60 R18,Analog,7,Yes,3 years /100000 Kms (years/distance whichever comes first),Manual,5205,5,2013
687,Mahindra,Xuv500,W3,6580542,2179 cc,4,70 litres,Diesel,16 km/litre,6,Ventilated Disc,Ventilated Disc,P235/65 R17,P235/65 R17,Analog,7,No,3 years /100000 Kms (years/distance whichever comes first),Manual,10440,2,2021
688,Mahindra,E Verito,D4,3109641,72 cc,2,24 litres,Electric,110 km/litre,4,Ventilated Disc,Drum,185/70R14,185/70R14,Yes,5,Yes,"2 Years / 40,000 Kms (Whichever comes earlier)",Manual,2443,3,2022
689,Mahindra,E Verito,D2,2734495,72 cc,2,24 litres,Electric,110 km/litre,4,Ventilated Disc,Drum,185/70R14,185/70R14,Analog,5,No,"2 Years / 50,000 Kms (Whichever comes earlier)",Manual,6998,4,2020
690,Mahindra,E Verito,D6,4632350,72 cc,2,24 litres,Electric,110 km/litre,4,Ventilated Disc,Drum,185/70R14,185/70R14,Analog,5,Yes,"2 Years / 40,000 Kms (Whichever comes earlier)",Manual,7918,3,2014
691,Tata,Hexa,Xm Plus 4X2,6215461,2179 cc,4,60 litres,Diesel,14 km/litre,6,Ventilated Disc,Ventilated Disc,235/70 R16,235/70 R16,Analog,7,Yes,No Warranty,Manual,4694,3,2019
692,Tata,Hexa,Xt 4X4,6976581,2179 cc,2,60 litres,Diesel,14 km/litre,6,Ventilated Disc,Ventilated Disc,235/55 R19,235/55 R19,Analog,6,Yes,No Warranty,Manual,5133,4,2018
693,Tata,Hexa,Xta 4X2,3302421,2179 cc,4,60 litres,Diesel,14 km/litre,6,Ventilated Disc,Ventilated Disc,235/55 R19,235/55 R19,Analog,6,Yes,No Warranty,Manual,10154,4,2017
694,Tata,Hexa,Xt 4X2,6980161,2179 cc,4,24 litres,Diesel,14 km/litre,6,Ventilated Disc,Ventilated Disc,235/55 R19,235/55 R19,Analog,6,Yes,No Warranty,Manual,8119,3,2010
695,Tata,Hexa,Xe 4X2,4469217,2179 cc,4,60 litres,Diesel,14 km/litre,5,Ventilated Disc,Ventilated Disc,235/70 R16,235/70 R16,Analog,7,Yes,No Warranty,Manual,8584,2,2013
696,Tata,Hexa,Xm 4X2,6819921,2179 cc,4,60 litres,Diesel,14 km/litre,6,Ventilated Disc,Ventilated Disc,235/70 R16,235/70 R16,Analog,7,Yes,No Warranty,Manual,3413,5,2014
697,Tata,Hexa,Xma 4X2,9565447,2179 cc,4,24 litres,Diesel,14 km/litre,6,Ventilated Disc,Ventilated Disc,235/70 R16,235/70 R16,Analog,7,Yes,No Warranty,Manual,5784,5,2010
698,Toyota,Innova Crysta,2.4 Gx 7 Str,7600328,2393 cc,4,55 litres,Diesel,12 km/litre,5,Ventilated Disc,Drum,205/65R16,205/65R16,Analog,7,No,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,9167,3,2022
699,Toyota,Innova Crysta,2.4 Vx 7 Str,9380958,2393 cc,4,55 litres,Diesel,12 km/litre,5,Ventilated Disc,Drum,205/65R16,205/65R16,Analog,7,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,7239,3,2014
700,Toyota,Innova Crysta,2.4 Gx 8 Str,5639977,2393 cc,4,55 litres,Diesel,12 km/litre,5,Ventilated Disc,Drum,205/65R16,205/65R16,Analog,8,No,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,8850,5,2011
701,Toyota,Innova Crysta,2.4 Vx 8 Str,5059428,2393 cc,4,55 litres,Diesel,12 km/litre,5,Ventilated Disc,Drum,215/55R17,215/55R17,Analog,8,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,1451,4,2011
702,Toyota,Innova Crysta,2.4 Zx 7 Str,5898186,2393 cc,4,55 litres,Diesel,12 km/litre,5,Ventilated Disc,Drum,215/55R17,215/55R17,Analog,7,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,3863,2,2017
703,Toyota,Innova Crysta,2.7 Gx At 8 Str,4000242,2694 cc,4,55 litres,Petrol,11.2 km/litre,6,Ventilated Disc,Drum,205/65R16,205/65R16,Analog,8,Yes,"3 Years/1,00,000 Kms (Whichever comes earlier)",Manual,7471,2,2018
